2017-02-07 21:09:17 install bash:armhf <none> 4.4-4
2017-02-07 21:09:17 status half-installed bash:armhf 4.4-4
2017-02-07 21:09:19 status unpacked bash:armhf 4.4-4
2017-02-07 21:09:19 status unpacked bash:armhf 4.4-4
2017-02-07 21:09:20 install libbz2-1.0:armhf <none> 1.0.6-8.1
2017-02-07 21:09:20 status half-installed libbz2-1.0:armhf 1.0.6-8.1
2017-02-07 21:09:20 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2017-02-07 21:09:20 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2017-02-07 21:09:21 install libdebconfclient0:armhf <none> 0.222
2017-02-07 21:09:21 status half-installed libdebconfclient0:armhf 0.222
2017-02-07 21:09:21 status unpacked libdebconfclient0:armhf 0.222
2017-02-07 21:09:21 status unpacked libdebconfclient0:armhf 0.222
2017-02-07 21:09:23 install coreutils:armhf <none> 8.26-2
2017-02-07 21:09:23 status half-installed coreutils:armhf 8.26-2
2017-02-07 21:09:28 status unpacked coreutils:armhf 8.26-2
2017-02-07 21:09:28 status unpacked coreutils:armhf 8.26-2
2017-02-07 21:09:28 install dash:armhf <none> 0.5.8-2.4
2017-02-07 21:09:28 status half-installed dash:armhf 0.5.8-2.4
2017-02-07 21:09:28 status unpacked dash:armhf 0.5.8-2.4
2017-02-07 21:09:28 status unpacked dash:armhf 0.5.8-2.4
2017-02-07 21:09:29 install libdb5.3:armhf <none> 5.3.28-12+b1
2017-02-07 21:09:29 status half-installed libdb5.3:armhf 5.3.28-12+b1
2017-02-07 21:09:30 status unpacked libdb5.3:armhf 5.3.28-12+b1
2017-02-07 21:09:30 status unpacked libdb5.3:armhf 5.3.28-12+b1
2017-02-07 21:09:31 install debconf:all <none> 1.5.60
2017-02-07 21:09:31 status half-installed debconf:all 1.5.60
2017-02-07 21:09:31 status unpacked debconf:all 1.5.60
2017-02-07 21:09:31 status unpacked debconf:all 1.5.60
2017-02-07 21:09:31 install debianutils:armhf <none> 4.8.1
2017-02-07 21:09:31 status half-installed debianutils:armhf 4.8.1
2017-02-07 21:09:31 status unpacked debianutils:armhf 4.8.1
2017-02-07 21:09:31 status unpacked debianutils:armhf 4.8.1
2017-02-07 21:09:31 install diffutils:armhf <none> 1:3.5-3
2017-02-07 21:09:31 status half-installed diffutils:armhf 1:3.5-3
2017-02-07 21:09:33 status unpacked diffutils:armhf 1:3.5-3
2017-02-07 21:09:33 status unpacked diffutils:armhf 1:3.5-3
2017-02-07 21:09:33 upgrade dpkg:armhf 1.18.22 1.18.22
2017-02-07 21:09:33 status half-configured dpkg:armhf 1.18.22
2017-02-07 21:09:33 status unpacked dpkg:armhf 1.18.22
2017-02-07 21:09:33 status half-installed dpkg:armhf 1.18.22
2017-02-07 21:09:36 status half-installed dpkg:armhf 1.18.22
2017-02-07 21:09:36 status unpacked dpkg:armhf 1.18.22
2017-02-07 21:09:36 status unpacked dpkg:armhf 1.18.22
2017-02-07 21:09:36 install e2fslibs:armhf <none> 1.43.4-2
2017-02-07 21:09:36 status half-installed e2fslibs:armhf 1.43.4-2
2017-02-07 21:09:36 status unpacked e2fslibs:armhf 1.43.4-2
2017-02-07 21:09:36 status unpacked e2fslibs:armhf 1.43.4-2
2017-02-07 21:09:36 install e2fsprogs:armhf <none> 1.43.4-2
2017-02-07 21:09:36 status half-installed e2fsprogs:armhf 1.43.4-2
2017-02-07 21:09:38 status unpacked e2fsprogs:armhf 1.43.4-2
2017-02-07 21:09:38 status unpacked e2fsprogs:armhf 1.43.4-2
2017-02-07 21:09:46 install libcomerr2:armhf <none> 1.43.4-2
2017-02-07 21:09:46 status half-installed libcomerr2:armhf 1.43.4-2
2017-02-07 21:09:46 status unpacked libcomerr2:armhf 1.43.4-2
2017-02-07 21:09:46 status unpacked libcomerr2:armhf 1.43.4-2
2017-02-07 21:09:47 install libss2:armhf <none> 1.43.4-2
2017-02-07 21:09:47 status half-installed libss2:armhf 1.43.4-2
2017-02-07 21:09:47 status unpacked libss2:armhf 1.43.4-2
2017-02-07 21:09:47 status unpacked libss2:armhf 1.43.4-2
2017-02-07 21:09:47 install findutils:armhf <none> 4.6.0+git+20161106-1
2017-02-07 21:09:47 status half-installed findutils:armhf 4.6.0+git+20161106-1
2017-02-07 21:09:47 status unpacked findutils:armhf 4.6.0+git+20161106-1
2017-02-07 21:09:47 status unpacked findutils:armhf 4.6.0+git+20161106-1
2017-02-07 21:09:47 install gcc-5-base:armhf <none> 5.4.1-5
2017-02-07 21:09:47 status half-installed gcc-5-base:armhf 5.4.1-5
2017-02-07 21:09:47 status unpacked gcc-5-base:armhf 5.4.1-5
2017-02-07 21:09:47 status unpacked gcc-5-base:armhf 5.4.1-5
2017-02-07 21:09:47 install gcc-6-base:armhf <none> 6.3.0-6
2017-02-07 21:09:47 status half-installed gcc-6-base:armhf 6.3.0-6
2017-02-07 21:09:47 status unpacked gcc-6-base:armhf 6.3.0-6
2017-02-07 21:09:47 status unpacked gcc-6-base:armhf 6.3.0-6
2017-02-07 21:09:48 install libgcc1:armhf <none> 1:6.3.0-6
2017-02-07 21:09:48 status half-installed libgcc1:armhf 1:6.3.0-6
2017-02-07 21:09:48 status unpacked libgcc1:armhf 1:6.3.0-6
2017-02-07 21:09:48 status unpacked libgcc1:armhf 1:6.3.0-6
2017-02-07 21:09:48 install libc-bin:armhf <none> 2.24-9
2017-02-07 21:09:48 status half-installed libc-bin:armhf 2.24-9
2017-02-07 21:09:48 status unpacked libc-bin:armhf 2.24-9
2017-02-07 21:09:48 status unpacked libc-bin:armhf 2.24-9
2017-02-07 21:09:49 upgrade libc6:armhf 2.24-9 2.24-9
2017-02-07 21:09:49 status half-configured libc6:armhf 2.24-9
2017-02-07 21:09:49 status unpacked libc6:armhf 2.24-9
2017-02-07 21:09:49 status half-installed libc6:armhf 2.24-9
2017-02-07 21:09:54 status half-installed libc6:armhf 2.24-9
2017-02-07 21:09:56 status unpacked libc6:armhf 2.24-9
2017-02-07 21:09:56 status unpacked libc6:armhf 2.24-9
2017-02-07 21:09:56 install multiarch-support:armhf <none> 2.24-9
2017-02-07 21:09:56 status half-installed multiarch-support:armhf 2.24-9
2017-02-07 21:09:57 status unpacked multiarch-support:armhf 2.24-9
2017-02-07 21:09:57 status unpacked multiarch-support:armhf 2.24-9
2017-02-07 21:09:57 install grep:armhf <none> 2.27-2
2017-02-07 21:09:57 status half-installed grep:armhf 2.27-2
2017-02-07 21:09:59 status unpacked grep:armhf 2.27-2
2017-02-07 21:09:59 status unpacked grep:armhf 2.27-2
2017-02-07 21:09:59 install gzip:armhf <none> 1.6-5
2017-02-07 21:09:59 status half-installed gzip:armhf 1.6-5
2017-02-07 21:10:01 status unpacked gzip:armhf 1.6-5
2017-02-07 21:10:01 status unpacked gzip:armhf 1.6-5
2017-02-07 21:10:01 install hostname:armhf <none> 3.18
2017-02-07 21:10:01 status half-installed hostname:armhf 3.18
2017-02-07 21:10:01 status unpacked hostname:armhf 3.18
2017-02-07 21:10:01 status unpacked hostname:armhf 3.18
2017-02-07 21:10:01 install init-system-helpers:all <none> 1.47
2017-02-07 21:10:01 status half-installed init-system-helpers:all 1.47
2017-02-07 21:10:01 status unpacked init-system-helpers:all 1.47
2017-02-07 21:10:01 status unpacked init-system-helpers:all 1.47
2017-02-07 21:10:01 install libcap-ng0:armhf <none> 0.7.7-3
2017-02-07 21:10:01 status half-installed libcap-ng0:armhf 0.7.7-3
2017-02-07 21:10:01 status unpacked libcap-ng0:armhf 0.7.7-3
2017-02-07 21:10:01 status unpacked libcap-ng0:armhf 0.7.7-3
2017-02-07 21:10:02 install libgcrypt20:armhf <none> 1.7.6-1
2017-02-07 21:10:02 status half-installed libgcrypt20:armhf 1.7.6-1
2017-02-07 21:10:02 status unpacked libgcrypt20:armhf 1.7.6-1
2017-02-07 21:10:02 status unpacked libgcrypt20:armhf 1.7.6-1
2017-02-07 21:10:02 install libgpg-error0:armhf <none> 1.26-2
2017-02-07 21:10:02 status half-installed libgpg-error0:armhf 1.26-2
2017-02-07 21:10:02 status unpacked libgpg-error0:armhf 1.26-2
2017-02-07 21:10:02 status unpacked libgpg-error0:armhf 1.26-2
2017-02-07 21:10:02 install libselinux1:armhf <none> 2.6-3
2017-02-07 21:10:02 status half-installed libselinux1:armhf 2.6-3
2017-02-07 21:10:02 status unpacked libselinux1:armhf 2.6-3
2017-02-07 21:10:02 status unpacked libselinux1:armhf 2.6-3
2017-02-07 21:10:02 install libsemanage-common:all <none> 2.6-2
2017-02-07 21:10:02 status half-installed libsemanage-common:all 2.6-2
2017-02-07 21:10:02 status unpacked libsemanage-common:all 2.6-2
2017-02-07 21:10:02 status unpacked libsemanage-common:all 2.6-2
2017-02-07 21:10:03 install libsemanage1:armhf <none> 2.6-2
2017-02-07 21:10:03 status half-installed libsemanage1:armhf 2.6-2
2017-02-07 21:10:03 status unpacked libsemanage1:armhf 2.6-2
2017-02-07 21:10:03 status unpacked libsemanage1:armhf 2.6-2
2017-02-07 21:10:03 install libsepol1:armhf <none> 2.6-2
2017-02-07 21:10:03 status half-installed libsepol1:armhf 2.6-2
2017-02-07 21:10:05 status unpacked libsepol1:armhf 2.6-2
2017-02-07 21:10:05 status unpacked libsepol1:armhf 2.6-2
2017-02-07 21:10:05 install lsb-base:all <none> 9.20161125
2017-02-07 21:10:05 status half-installed lsb-base:all 9.20161125
2017-02-07 21:10:05 status unpacked lsb-base:all 9.20161125
2017-02-07 21:10:05 status unpacked lsb-base:all 9.20161125
2017-02-07 21:10:05 install liblz4-1:armhf <none> 0.0~r131-2
2017-02-07 21:10:05 status half-installed liblz4-1:armhf 0.0~r131-2
2017-02-07 21:10:05 status unpacked liblz4-1:armhf 0.0~r131-2
2017-02-07 21:10:05 status unpacked liblz4-1:armhf 0.0~r131-2
2017-02-07 21:10:05 upgrade mawk:armhf 1.3.3-17+b1 1.3.3-17+b1
2017-02-07 21:10:05 status half-configured mawk:armhf 1.3.3-17+b1
2017-02-07 21:10:05 status unpacked mawk:armhf 1.3.3-17+b1
2017-02-07 21:10:05 status half-installed mawk:armhf 1.3.3-17+b1
2017-02-07 21:10:05 status half-installed mawk:armhf 1.3.3-17+b1
2017-02-07 21:10:05 status unpacked mawk:armhf 1.3.3-17+b1
2017-02-07 21:10:05 status unpacked mawk:armhf 1.3.3-17+b1
2017-02-07 21:10:05 install libncurses5:armhf <none> 6.0+20161126-1
2017-02-07 21:10:05 status half-installed libncurses5:armhf 6.0+20161126-1
2017-02-07 21:10:05 status unpacked libncurses5:armhf 6.0+20161126-1
2017-02-07 21:10:05 status unpacked libncurses5:armhf 6.0+20161126-1
2017-02-07 21:10:05 install libncursesw5:armhf <none> 6.0+20161126-1
2017-02-07 21:10:05 status half-installed libncursesw5:armhf 6.0+20161126-1
2017-02-07 21:10:06 status unpacked libncursesw5:armhf 6.0+20161126-1
2017-02-07 21:10:06 status unpacked libncursesw5:armhf 6.0+20161126-1
2017-02-07 21:10:06 install libtinfo5:armhf <none> 6.0+20161126-1
2017-02-07 21:10:06 status half-installed libtinfo5:armhf 6.0+20161126-1
2017-02-07 21:10:06 status unpacked libtinfo5:armhf 6.0+20161126-1
2017-02-07 21:10:06 status unpacked libtinfo5:armhf 6.0+20161126-1
2017-02-07 21:10:06 install ncurses-base:all <none> 6.0+20161126-1
2017-02-07 21:10:06 status half-installed ncurses-base:all 6.0+20161126-1
2017-02-07 21:10:06 status unpacked ncurses-base:all 6.0+20161126-1
2017-02-07 21:10:06 status unpacked ncurses-base:all 6.0+20161126-1
2017-02-07 21:10:06 install ncurses-bin:armhf <none> 6.0+20161126-1
2017-02-07 21:10:06 status half-installed ncurses-bin:armhf 6.0+20161126-1
2017-02-07 21:10:06 status unpacked ncurses-bin:armhf 6.0+20161126-1
2017-02-07 21:10:06 status unpacked ncurses-bin:armhf 6.0+20161126-1
2017-02-07 21:10:07 install libpam-modules:armhf <none> 1.1.8-3.5
2017-02-07 21:10:07 status half-installed libpam-modules:armhf 1.1.8-3.5
2017-02-07 21:10:09 status unpacked libpam-modules:armhf 1.1.8-3.5
2017-02-07 21:10:09 status unpacked libpam-modules:armhf 1.1.8-3.5
2017-02-07 21:10:09 install libpam-modules-bin:armhf <none> 1.1.8-3.5
2017-02-07 21:10:09 status half-installed libpam-modules-bin:armhf 1.1.8-3.5
2017-02-07 21:10:09 status unpacked libpam-modules-bin:armhf 1.1.8-3.5
2017-02-07 21:10:09 status unpacked libpam-modules-bin:armhf 1.1.8-3.5
2017-02-07 21:10:09 install libpam-runtime:all <none> 1.1.8-3.5
2017-02-07 21:10:09 status half-installed libpam-runtime:all 1.1.8-3.5
2017-02-07 21:10:10 status unpacked libpam-runtime:all 1.1.8-3.5
2017-02-07 21:10:10 status unpacked libpam-runtime:all 1.1.8-3.5
